Date,Account ID,Name,Benchmark Name,Fund,Benchmark,Excess
4/30/1997,A1VE,E2,S&P 500 INDEX (DAILY),6,5.96989,0.03011
5/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),6.11,6.08832,0.02168
6/30/1997,A1VE,E2,S&P 500 INDEX (DAILY),4.44,4.48018,-0.04018
7/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),7.95,7.95676,-0.00676
8/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),-5.54,-5.60217,0.06217
9/30/1997,A1VE,E2,S&P 500 INDEX (DAILY),5.45,5.47666,-0.02666
10/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),-3.28,-3.33971,0.05971
11/30/1997,A1VE,E2,S&P 500 INDEX (DAILY),4.61,4.62923,-0.01923
12/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),1.69,1.71737,-0.02737
1/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),1.16,1.10608,0.05392
2/28/1998,A1VE,E2,S&P 500 INDEX (DAILY),7.17,7.21253,-0.04253
3/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),5.14,5.12081,0.01919
4/30/1998,A1VE,E2,S&P 500 INDEX (DAILY),1.04,1.00608,0.03392
5/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),-1.73,-1.71879,-0.01121
6/30/1998,A1VE,E2,S&P 500 INDEX (DAILY),4.07,4.06189,0.00811
7/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),-1.05,-1.06484,0.01484
8/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),-14.42,-14.45772,0.03772
9/30/1998,A1VE,E2,S&P 500 INDEX (DAILY),6.44,6.40604,0.03396
10/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),8.16,8.1342,0.0258
11/30/1998,A1VE,E2,S&P 500 INDEX (DAILY),6.04,6.06079,-0.02079
12/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),5.82,5.76252,0.05748
1/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),4.2,4.1816,0.0184
2/28/1999,A1VE,E2,S&P 500 INDEX (DAILY),-3.1,-3.10787,0.00787
3/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),3.97,4.00085,-0.03085
4/30/1999,A1VE,E2,S&P 500 INDEX (DAILY),3.82,3.87255,-0.05255
5/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),-2.27,-2.36137,0.09137
6/30/1999,A1VE,E2,S&P 500 INDEX (DAILY),5.45,5.54973,-0.09973
7/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),-3.03,-3.12247,0.09247
8/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),-0.49,-0.49473,0.00473
9/30/1999,A1VE,E2,S&P 500 INDEX (DAILY),-2.77,-2.7414,-0.0286
10/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),6.36,6.32807,0.03193
11/30/1999,A1VE,E2,S&P 500 INDEX (DAILY),2.06,2.03283,0.02717
12/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),5.9,5.88962,0.01038
1/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),-5.04,-5.02424,-0.01576
2/29/2000,A1VE,E2,S&P 500 INDEX (DAILY),-1.94,-1.89297,-0.04703
3/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),10.03,9.78286,0.24714
4/30/2000,A1VE,E2,S&P 500 INDEX (DAILY),-3.13,-3.00857,-0.12143
5/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),-2.03,-2.05171,0.02171
6/30/2000,A1VE,E2,S&P 500 INDEX (DAILY),2.39,2.46533,-0.07533
7/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),-1.42,-1.56342,0.14342
8/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),6.21,6.21144,-0.00144
9/30/2000,A1VE,E2,S&P 500 INDEX (DAILY),-5.24,-5.27933,0.03933
10/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),-0.4,-0.42276,0.02276
11/30/2000,A1VE,E2,S&P 500 INDEX (DAILY),-7.83,-7.88395,0.05395
12/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),0.51,0.48944,0.02056
